Naptan_Atco,Stop_Name
490011855N,ST MONICA'S CHURCH
490004196S,BOURNE HILL
490010776W,PARK HILL_F
490009764N,MEADOWCROFT ROAD
490009764S,MEADOWCROFT ROAD
490000119P,HYDE PARK CORNER STATION <>_P
490012612C,STATION ROAD_R
490000027B,BOSTON MANOR STATION <>_N
490007438S1,GREEN DRAGON LANE_F
490012220W,SOLNA ROAD_E
490012220N,SOLNA ROAD_U
490005549N,CONIFER GARDENS_H
490005549S,CONIFER GARDENS_D
490004650N,BUSH HILL_K
490004650S,BUSH HILL_B
490010760N,PARK CRESCENT_L
490010760S,PARK CRESCENT_A
490004904Y,CECIL ROAD / ST ANNES SCHOOL_Y
490009169S,CECIL ROAD / ST ANNES SCHOOL_T
490006588R,ENFIELD TOWN / GENOTIN ROAD_R
490006587D,ENFIELD TOWN / CHURCH STREET_D
490013736N,TOTTENHAM POLICE STATION_F
490013739N,TOTTENHAM TOWN HALL_W
490014853E,WOOD GREEN CROWN COURT
490005320W,WESTMINSTER ACADEMY / CIRENCESTER STREET_RE
490014853W,WOOD GREEN CROWN COURT_NT
490010954E,PERTH ROAD_NB
490010954W,PERTH ROAD_NS
490007201E,GLADSTONE AVENUE_NC
490010036W,MORLEY AVENUE_NR
490007201W,GLADSTONE AVENUE_NP
490014410E,WESTBURY AVENUE / LORDSHIP LANE_ND
490005320E,WESTMINSTER ACADEMY / CIRENCESTER STREET_RB
490013539W,THE ROUNDWAY / WEST ARM_LL
490013539E,THE ROUNDWAY / WEST ARM_LA
490014177E,WALTHEOF AVENUE_LB
490014177W,WALTHEOF AVENUE_LK
490003521E,AWLFIELD AVENUE_LC
490003521W1,AWLFIELD AVENUE_LJ
490010091E,MOUNT PLEASANT ROAD_LD
490010091W,MOUNT PLEASANT ROAD_LH
490004520M,BRUCE CASTLE PARK & MUSEUM_M
490013233N,ELMHURST ROAD_N
490013853L,ELMHURST ROAD_L
490001040O,BRUCE GROVE STATION #_P
490001040K,BRUCE GROVE STATION #_K
490010561W,PARNELL ROAD_OC
490010561E,PARNELL ROAD_ON
490009117T,CATFORD ROAD / LEWISHAM TOWN HALL_T
490000028C,BOUNDS GREEN STATION <>_BN
490000028D,BOUNDS GREEN STATION <>_BB
490013170S,TAVISTOCK SQUARE_N
490010861T,PARSONS GREEN LANE / FULHAM LIBRARY_T
490010861V,PARSONS GREEN LANE / FULHAM LIBRARY_V
490010123E2,MUNSTER ROAD_FR
490010123W2,MUNSTER ROAD_FS
490011491N,HERNE HILL ROAD
490011491S,HERNE HILL ROAD
490004267E,THE GREEN
490007784S,MERLE AVENUE
490012137E,SHRUBS ROAD
490012137W,SHRUBS ROAD
490009859S,MIDDLETON ROAD_KH
490010141E,MYDDELTON ROAD_C
490013557N,ARDLEIGH GREEN SCHOOL
490013557S,ARDLEIGH GREEN SCHOOL
490003975L,BEXLEYHEATH CLOCK TOWER_L
490012130W,SHREWSBURY ROAD_M
490013628S,THORNHILL ROAD_HB
490013628N,THORNHILL ROAD_HQ
490012019V,SHACKLEWELL LANE_V
490014376C,LAKESIDE WAY_C
490014375G,WEMBLEY ARENA_G
490014469E,EDGWARE ROAD / THE HYDE_HT
490014469W,EDGWARE ROAD / THE HYDE_HS
490011828E,RUVIGNY GARDENS_G
490011828W,RUVIGNY GARDENS_H
490006825E,FESTING ROAD_F
490010160E1,GREENWOOD ROAD_E
490006825W,FESTING ROAD_J
490012375E,COMMONDALE_E
490012375W,COMMONDALE_K
490011286M,PUTNEY EXCHANGE_M
490011286L,PUTNEY EXCHANGE_L
490012055N,SHEFFIELD TERRACE_X
490012055S,SHEFFIELD TERRACE_P
490000086B,GLOUCESTER ROAD STATION <>_GS
490010728N,PALACE GATE_RQ
490010160W,GREENWOOD ROAD_B
490010728S,PALACE GATE_RP
490012545E,STANHOPE GARDENS_GQ
490012545W,STANHOPE GARDENS_GP
490015421E,ROYAL BROMPTON HOSP / ROYAL MARSDEN HOSP_HM
490005062HF,CHELSEA AND WESTMINSTER HOSPITAL_HF
490008380HD,HORTENSIA ROAD_HD
490001273C,STOKE NEWINGTON STATION #_C
490011479S,REDCLIFFE SQUARE_HU
490015228L,EARLS COURT ROAD / OLD BROMPTON ROAD_L
490000064A,EARLS COURT STATION <>_A
490011943N,SCARSDALE VILLAS_P
490011943S,PEMBROKE ROAD_L
490015071E,GLOUCESTER ROAD_GC
490010141W,MYDDELTON ROAD_K
490015071W,GLOUCESTER ROAD_GE
490004138E,BOLTON GARDENS / BROMPTON LIBRARY_GA
490004437W,BROMPTON SQUARE_KU
490004436C,VICTORIA AND ALBERT MUSEUM_M
490004436F,VICTORIA AND ALBERT MUSEUM_N
490010779E,COLLINGHAM ROAD / SAINSBURY'S_GJ
490013096W,CROMWELL HOSPITAL_U
490003106W,WARWICK GARDENS_Z
490008286N,HOLLAND GARDENS_N
490009406N,LOWER ADDISON GARDENS
490013444S,PARK GROVE
490003210S,ALEXANDRA PALACE GARDEN CENTRE_S
490003198S,ALEXANDRA PALACE ICE RINK_P
490003199S,ALEXANDRA PALACE PALM COURT_R
490003210N,ALEXANDRA PALACE GARDEN CENTRE_A
490003196W,ALEXANDRA PALACE PARK_D
490003198N,ALEXANDRA PALACE ICE RINK_C
490003199E,ALEXANDRA PALACE PALM COURT_B
490003196E,ALEXANDRA PALACE PARK_N
490011822E,RUTLAND GARDENS_KP
490011822W,KNIGHTSBRIDGE BARRACKS_KF
490011198E,PRINCE OF WALES GATE_RM
490011198W,PRINCE OF WALES GATE_RA
490011334E1,QUEEN'S GATE_RK
490005069E,CHELSEA FOOTBALL CLUB_V
490005069W,CHELSEA FOOTBALL CLUB_W
490011385E,RADIPOLE ROAD_S
490011385W,RADIPOLE ROAD
490007054E,FULHAM PALACE ROAD_FP
490007054W,FULHAM PALACE ROAD_FT
490010117E,MULGRAVE ROAD_BM
490010358W,NORTH END ROAD_BC
490013676W,FULHAM POOLS_BE
490007050E,FULHAM CROSS_HD
490007050W,FULHAM CROSS_HE
490012117E,SHORROLDS ROAD_J
490012117W,SHORROLDS ROAD_D
490013548E,SHERBROOKE ROAD
490013548W,SHERBROOKE ROAD
490007754E,HANNELL ROAD_HJ
490007754W,MUNSTER ROAD_HK
490007050S,MUNSTER ROAD / FULHAM CROSS_HH
490009156V,LILLIE ROAD_BK
490009156X,LILLIE ROAD_BR
490014485N,WEST KENSINGTON ESTATE_BT
490014485S,WEST KENSINGTON ESTATE_BS
490000265B,WEST KENSINGTON STATION <>_T
490000265A,WEST KENSINGTON STATION <>_S
490009492S,LYTTON ESTATE_R
490009492N,LYTTON ESTATE_U
490007709S,KENSINGTON OLYMPIA_P
490011788N,RUMBOLD ROAD_GC
490011788W,RUMBOLD ROAD_GJ
490014186I,WANDSWORTH BRIDGE ROAD_GB
490014186W,WANDSWORTH BRIDGE ROAD_GL
490005189E,IRENE ROAD_GA
490005156W,IRENE ROAD_GM
490015575X,PARSONS GREEN_X
490015393Z,MUNSTER ROAD_Z
490015393Y,MUNSTER ROAD_Y
490010225N,NEW KINGS ROAD_GP
490010225S,NEW KING'S ROAD_GQ
490010474S,OAKBURY ROAD_TK
490011763E,ROYAL HOSPITAL CHELSEA / LOWER SLOANE STREET_N
490010156N,NATIONAL ARMY MUSEUM
490010156S,NATIONAL ARMY MUSEUM
490003152E,ALBERT BRIDGE / CADOGAN PIER >R<_QE
490003152W,ALBERT BRIDGE / CADOGAN PIER_QD
490012367W,SPA ROAD_V
490003682W,BEAUFORT STREET_BC
490006224KP,DUKE OF YORK SQUARE_KP
490009666KB,MARKHAM STREET_KB
490005073KC,CHELSEA OLD TOWN HALL_KC
490008763KF,CARLYLE SQUARE_KF
490004809KD,CARLYLE SQUARE_KD
490005076E,HOBURY STREET / WORLDS END_QH
490005076W,EDITH GROVE / WORLDS END_QR
490005152N,CHEYNE WALK_BM
490012082A,WEST HAMPSTEAD STN<> / BROADHURST GDNS_A
490012367E,SPA ROAD_Q
490005152S,CHEYNE WALK_BA
490015421S,ROYAL BROMPTON HOSP / ROYAL MARSDEN HOSP_HP
490005062HA,CHELSEA AND WESTMINSTER HOSPITAL_HA
490008380HC,HORTENSIA ROAD_HC
490015066S,EDITH GROVE / KING'S ROAD_HN
490011754N,CALE STREET / ROYAL BROMPTON HOSPITAL_HS
490011754S1,CALE STREET / ROYAL BROMPTON HOSPITAL_HW
490003269S,ALPHA CLOSE_LA
490006876N,CHELSEA PHYSIC GARDEN
490006876S,CHELSEA PHYSIC GARDEN
490014333N,WEDMORE STREET_U
490014846E,LORD AVENUE_WD
490014846N,WOODFORD BRIDGE ROAD_WL
490007943S,HAYES / GEORGE LANE_N
